code,item_url,full_name,name
vsystems,https://www.feixiaohao.com/currencies/vsystems/,v.systems,VSYS
syscoin,https://www.feixiaohao.com/currencies/syscoin/,系统币,SYS
aeternity,https://www.feixiaohao.com/currencies/aeternity/,阿姨币,AE
mvsdna,https://www.feixiaohao.com/currencies/mvsdna/,元界双链,DNA
nuls,https://www.feixiaohao.com/currencies/nuls/,纳世,NULS
aion,https://www.feixiaohao.com/currencies/aion/,Aion,AION
alibabacoin,https://www.feixiaohao.com/currencies/alibabacoin/,Alibabacoin,ABBC
electroneum,https://www.feixiaohao.com/currencies/electroneum/,Electroneum,ETN
origintrail,https://www.feixiaohao.com/currencies/origintrail/,Trace,TRAC
utrust,https://www.feixiaohao.com/currencies/utrust/,UTRUST,UTK
gxshares,https://www.feixiaohao.com/currencies/gxshares/,公信宝,GXC
bitquence,https://www.feixiaohao.com/currencies/bitquence/,Voyager Token,VGX
waykichain,https://www.feixiaohao.com/currencies/waykichain/,维基币,WICC
waykichain,https://www.feixiaohao.com/currencies/waykichain/,维基币,WICC
super-zero,https://www.feixiaohao.com/currencies/super-zero/,超零币,SERO
solve,https://www.feixiaohao.com/currencies/solve/,SOLVE token,SOLVE
baerchain,https://www.feixiaohao.com/currencies/baerchain/,贝尔链,BRC
switcheo,https://www.feixiaohao.com/currencies/switcheo/,Switcheo,SWTH
bhpcash,https://www.feixiaohao.com/currencies/bhpcash/,算力币,BHP
power-ledger,https://www.feixiaohao.com/currencies/power-ledger/,Power Ledger,POWR
elastos,https://www.feixiaohao.com/currencies/elastos/,亦来云,ELA
whitecoin,https://www.feixiaohao.com/currencies/whitecoin/,白币,XWC
bhttoken,https://www.feixiaohao.com/currencies/bhttoken/,BHEX Token,BHT
streamr-datacoin,https://www.feixiaohao.com/currencies/streamr-datacoin/,Streamr DATAcoin,DATA
stakenet,https://www.feixiaohao.com/currencies/stakenet/,StakeNet,XSN
eidoo,https://www.feixiaohao.com/currencies/eidoo/,Eidoo,EDO
gnosis-gno,https://www.feixiaohao.com/currencies/gnosis-gno/,Gnosis,GNO
aelf,https://www.feixiaohao.com/currencies/aelf/,ælf,ELF
request-network,https://www.feixiaohao.com/currencies/request-network/,Request Network,REQ
ripio-credit-network,https://www.feixiaohao.com/currencies/ripio-credit-network/,RCN,RCN
bitcoinhd,https://www.feixiaohao.com/currencies/bitcoinhd/,比特硬币,BHD
fusion,https://www.feixiaohao.com/currencies/fusion/,Fusion,FSN
storj,https://www.feixiaohao.com/currencies/storj/,Storj,STORJ
enigma-project,https://www.feixiaohao.com/currencies/enigma-project/,Enigma,ENG
pivx,https://www.feixiaohao.com/currencies/pivx/,普维币,PIVX
numeraire,https://www.feixiaohao.com/currencies/numeraire/,Numeraire,NMR
zt,https://www.feixiaohao.com/currencies/zt/,ZBG Token,ZT
truechain,https://www.feixiaohao.com/currencies/truechain/,初链,TRUE
singularitynet,https://www.feixiaohao.com/currencies/singularitynet/,SingularityNET,AGI
xinfin-network,https://www.feixiaohao.com/currencies/xinfin-network/,XinFin Network,XDCE
funfair,https://www.feixiaohao.com/currencies/funfair/,FunFair,FUN
crypterium,https://www.feixiaohao.com/currencies/crypterium/,Crypterium,CRPT
nebulas,https://www.feixiaohao.com/currencies/nebulas/,星云链,NAS
loom-network,https://www.feixiaohao.com/currencies/loom-network/,Loom Network,LOOM
mxtoken,https://www.feixiaohao.com/currencies/mxtoken/,抹茶,MX
orientwalt,https://www.feixiaohao.com/currencies/orientwalt/,华特东方,HTDF
dent,https://www.feixiaohao.com/currencies/dent/,Dentcoin,DENT
bluzelle,https://www.feixiaohao.com/currencies/bluzelle/,Bluzelle,BLZ
nimiq,https://www.feixiaohao.com/currencies/nimiq/,网络币,NIM
cortex,https://www.feixiaohao.com/currencies/cortex/,Cortex,CTXC
melon,https://www.feixiaohao.com/currencies/melon/,Melon,MLN
lambda,https://www.feixiaohao.com/currencies/lambda/,Lambda,LAMB
walton,https://www.feixiaohao.com/currencies/walton/,沃尔顿链,WTC
byteball,https://www.feixiaohao.com/currencies/byteball/,字节雪球,GBYTE
populous,https://www.feixiaohao.com/currencies/populous/,Populous,PPT
uquid-coin,https://www.feixiaohao.com/currencies/uquid-coin/,Uquid Coin,UQC
gas,https://www.feixiaohao.com/currencies/gas/,Gas,GAS
raiden-network-token,https://www.feixiaohao.com/currencies/raiden-network-token/,雷电网络,RDN
adx-net,https://www.feixiaohao.com/currencies/adx-net/,AdEx,ADX
quantstamp,https://www.feixiaohao.com/currencies/quantstamp/,Quantstamp,QSP
dragonchain,https://www.feixiaohao.com/currencies/dragonchain/,龙链,DRGN
nexus,https://www.feixiaohao.com/currencies/nexus/,Nexus,NXS
factom,https://www.feixiaohao.com/currencies/factom/,公证通,FCT
qash,https://www.feixiaohao.com/currencies/qash/,QASH,QASH
polymath-network,https://www.feixiaohao.com/currencies/polymath-network/,Polymath Network,POLY
groestlcoin,https://www.feixiaohao.com/currencies/groestlcoin/,Groestlcoin,GRS
cindicator,https://www.feixiaohao.com/currencies/cindicator/,Cindicator,CND
bikitoken,https://www.feixiaohao.com/currencies/bikitoken/,BIKI Token,BIKI
dragontoken,https://www.feixiaohao.com/currencies/dragontoken/,龙币,DT
newton,https://www.feixiaohao.com/currencies/newton/,牛顿,NEW
wbftoken,https://www.feixiaohao.com/currencies/wbftoken/,瓦特币,WT
medibloc,https://www.feixiaohao.com/currencies/medibloc/,Medibloc,MED
dynamic-trading-rights,https://www.feixiaohao.com/currencies/dynamic-trading-rights/,DTR,DTR
metal,https://www.feixiaohao.com/currencies/metal/,Metal,MTL
nxt,https://www.feixiaohao.com/currencies/nxt/,未来币,NXT
yoyow,https://www.feixiaohao.com/currencies/yoyow/,YOYOW,YOYOW
telcoin,https://www.feixiaohao.com/currencies/telcoin/,Telcoin,TEL
davinci,https://www.feixiaohao.com/currencies/davinci/,达芬奇,DAC
steem-dollars,https://www.feixiaohao.com/currencies/steem-dollars/,Steem Dollars,SBD
einsteinium,https://www.feixiaohao.com/currencies/einsteinium/,锿币,EMC2
civic,https://www.feixiaohao.com/currencies/civic/,Civic,CVC
wabi,https://www.feixiaohao.com/currencies/wabi/,两,WABI
metaverse,https://www.feixiaohao.com/currencies/metaverse/,元界,ETP
skycoin,https://www.feixiaohao.com/currencies/skycoin/,天空币,SKY
burst,https://www.feixiaohao.com/currencies/burst/,Burst,BURST
airswap,https://www.feixiaohao.com/currencies/airswap/,AirSwap,AST
hpb,https://www.feixiaohao.com/currencies/hpb/,芯链,HPB
electra,https://www.feixiaohao.com/currencies/electra/,Electra,ECA
cloakcoin,https://www.feixiaohao.com/currencies/cloakcoin/,披风币,CLOAK
nav-coin,https://www.feixiaohao.com/currencies/nav-coin/,纳瓦霍币,NAV
arcblock,https://www.feixiaohao.com/currencies/arcblock/,区块基石,ABT
santiment,https://www.feixiaohao.com/currencies/santiment/,Santiment Network Token,SAN
bixtoken,https://www.feixiaohao.com/currencies/bixtoken/,BIX Token,BIX
neblio,https://www.feixiaohao.com/currencies/neblio/,Neblio,NEBL
cybermiles,https://www.feixiaohao.com/currencies/cybermiles/,草莓糖,CMT
geminidollar,https://www.feixiaohao.com/currencies/geminidollar/,双子星美元,GUSD
moeda-loyalty-points,https://www.feixiaohao.com/currencies/moeda-loyalty-points/,Moeda Loyalty,MDA
odem,https://www.feixiaohao.com/currencies/odem/,ODEM,ODE
qlink,https://www.feixiaohao.com/currencies/qlink/,Qlink,QLC
achain,https://www.feixiaohao.com/currencies/achain/,A链,ACT
bituantoken,https://www.feixiaohao.com/currencies/bituantoken/,Bituan Token,BT
veritaseum,https://www.feixiaohao.com/currencies/veritaseum/,Veritaseum,VERI
tierion,https://www.feixiaohao.com/currencies/tierion/,Tierion,TNT
bread,https://www.feixiaohao.com/currencies/bread/,Bread,BRD
dmarket,https://www.feixiaohao.com/currencies/dmarket/,DMarket,DMT
blocknet,https://www.feixiaohao.com/currencies/blocknet/,Blocknet,BLOCK
agoras-tokens,https://www.feixiaohao.com/currencies/agoras-tokens/,IDNI Agoras,AGRS
firstblood,https://www.feixiaohao.com/currencies/firstblood/,第一滴血,1ST
aeon,https://www.feixiaohao.com/currencies/aeon/,Aeon,AEON
iotchain,https://www.feixiaohao.com/currencies/iotchain/,万物链,ITC
salt,https://www.feixiaohao.com/currencies/salt/,SALT,SALT
quarkchain,https://www.feixiaohao.com/currencies/quarkchain/,QuarkChain,QKC
everex,https://www.feixiaohao.com/currencies/everex/,Everex,EVX
quantum-resistant-ledger,https://www.feixiaohao.com/currencies/quantum-resistant-ledger/,QRL,QRL
peercoin,https://www.feixiaohao.com/currencies/peercoin/,点点币,PPC
coindash,https://www.feixiaohao.com/currencies/coindash/,Blox,CDT
genesis-vision,https://www.feixiaohao.com/currencies/genesis-vision/,Genesis Vision,GVT
library-credit,https://www.feixiaohao.com/currencies/library-credit/,LBRY Credits,LBC
timenewbank,https://www.feixiaohao.com/currencies/timenewbank/,Time New Bank,TNB
ekt8,https://www.feixiaohao.com/currencies/ekt8/,多链技术,EKT
ruff,https://www.feixiaohao.com/currencies/ruff/,RUFF Token,RUFF
prs,https://www.feixiaohao.com/currencies/prs/,PressOne,PRS
gifto,https://www.feixiaohao.com/currencies/gifto/,Gifto,GTO
neumark,https://www.feixiaohao.com/currencies/neumark/,Neumark,NEU
tenx,https://www.feixiaohao.com/currencies/tenx/,TenX,PAY
namecoin,https://www.feixiaohao.com/currencies/namecoin/,域名币,NMC
sirin-labs-token,https://www.feixiaohao.com/currencies/sirin-labs-token/,SIRIN LABS,SRN
district0x,https://www.feixiaohao.com/currencies/district0x/,district0x,DNT
covesting,https://www.feixiaohao.com/currencies/covesting/,Covesting,COV
poet,https://www.feixiaohao.com/currencies/poet/,Po.et,POE
particl,https://www.feixiaohao.com/currencies/particl/,Particl,PART
morpheus-labs,https://www.feixiaohao.com/currencies/morpheus-labs/,Morpheus Labs,MITX
smartmesh,https://www.feixiaohao.com/currencies/smartmesh/,SmartMesh,SMT
viacoin,https://www.feixiaohao.com/currencies/viacoin/,维尔币,VIA
lamden,https://www.feixiaohao.com/currencies/lamden/,Lamden,TAU
singulardtv,https://www.feixiaohao.com/currencies/singulardtv/,SingularDTV,SNGLS
anwang,https://www.feixiaohao.com/currencies/anwang/,安网,SAFE
bnktothefuture,https://www.feixiaohao.com/currencies/bnktothefuture/,BnkToTheFuture,BFT
asch,https://www.feixiaohao.com/currencies/asch/,阿希币,XAS
unlimitedip,https://www.feixiaohao.com/currencies/unlimitedip/,未来版权,UIP
peculium,https://www.feixiaohao.com/currencies/peculium/,Peculium,PCL
ceo,https://www.feixiaohao.com/currencies/ceo/,CEO Token,CEO
agrello-delta,https://www.feixiaohao.com/currencies/agrello-delta/,DELTA,DLT
revain,https://www.feixiaohao.com/currencies/revain/,Revain,REV
intchain,https://www.feixiaohao.com/currencies/intchain/,英特币,INT
appcoins,https://www.feixiaohao.com/currencies/appcoins/,AppCoins,APPC
vibe,https://www.feixiaohao.com/currencies/vibe/,VIBEHub,VIBE
gamecredits,https://www.feixiaohao.com/currencies/gamecredits/,游戏币,GAME
credits,https://www.feixiaohao.com/currencies/credits/,Credits,CS
tigercash,https://www.feixiaohao.com/currencies/tigercash/,Tiger Cash,TCH
genaro,https://www.feixiaohao.com/currencies/genaro/,Genaro Network,GNX
suncontract,https://www.feixiaohao.com/currencies/suncontract/,SunContract,SNC
bitcore,https://www.feixiaohao.com/currencies/bitcore/,Bitcore,BTX
